id,etiqueta,nombre_comun,nombre_cientifico,categoria,es_medicinal,uso_medicinal_detallado,descripcion,regiones,imagen_url
1,Achiote,Achiote,Bixa orellana,Planta medicinal,Sí,"Usado para aliviar infecciones urinarias, fiebre, inflamaciones y también como colorante natural.",Crece en las regiones amazónicas del Perú donde es cultivado por comunidades indígenas desde tiempos precolombinos. Sus semillas eran usadas como pintura corporal y en rituales.,"Amazonas, Loreto, Ucayali",./Achiote/achiote2.jpg
2,ajo_sacha,Ajo Sacha,Mansoa alliacea,Planta medicinal,Sí,"Utilizado para aliviar reumatismo, dolor muscular, y como antibiótico natural.",Planta trepadora amazónica presente en chacras tradicionales; desde tiempos ancestrales ha sido empleada como planta protectora y medicinal por pueblos como los Shipibo-Conibo.,"Loreto, Ucayali, Amazonas",./Ajo_sacha/Ajo_sacha1.jpg
3,Amargon,Palta amarga o Amargon,Persea americana var. nigra,Fruta de producción,No,,"Variedad nativa silvestre de palta que crece en zonas rurales de altura, especialmente en campos andinos de subsistencia; valorada por su rusticidad.","Ayacucho, Apurímac, Cusco",./Amargon/amargon1.jpeg
4,Ambrosia_peruviana,Ambrosía peruana,Ambrosia peruviana,Planta medicinal,Sí,"Se usa para problemas respiratorios, fiebre, cólicos y como antiinflamatorio.","Hierba andina de clima templado-seco, históricamente usada en medicina tradicional rural; se le atribuyen propiedades purificantes y energéticas.","Cusco, Puno, Huancavelica",./Ambrosia_peruviana/Ambrosia_peruviana1.jpeg
5,Anacordo,Anacardo,Anacardium occidentale,Fruta de producción,No,,"Originario del Brasil pero ampliamente cultivado en la costa norte peruana desde la época colonial por sus frutos y semillas, usados como fuente de comercio local.","Piura, Tumbes, San Martín",./Anacordo/Anacordo1.jpeg
6,Aurinsho_hembra,Aurinsho hembra,Ambrosia arborescens,Planta medicinal,Sí,"Usada para tratar fiebre, problemas respiratorios, inflamaciones.","Planta resistente de los Andes centrales, muy usada por comunidades campesinas desde tiempos antiguos en infusiones y baños para el cuerpo.","Cusco, Apurímac, Puno",./Aurinsho_hembra/Ambrosia_arborescens1.jpeg
7,Caigua,Caigua,Cyclanthera pedata,Fruta de producción y Planta medicinal,Sí,"Regula colesterol, mejora digestión, antiinflamatoria.","Cultivada desde épocas preincaicas en terrazas agrícolas de los Andes, donde se valora por su sabor suave y propiedades digestivas.","Arequipa, Cajamarca, Ayacucho",./Caigua/Caigua1.jpeg
8,Camu_camu,Camu Camu,Myrciaria dubia,Fruta de producción y Planta medicinal,Sí,"Fortalece sistema inmunológico, rica en vitamina C, antioxidante.","Fruta amazónica de riberas inundables, cultivada por comunidades locales; recientemente popularizada a nivel mundial por su alto contenido de vitamina C.","Loreto, Ucayali, San Martín",./Camu_camu/Camu_camu1.jpeg
9,Cantuta,Cantuta,Cantua buxifolia,Planta medicinal,Sí,Se utiliza para infecciones respiratorias y dolor de garganta.,"Flor sagrada del Imperio Incaico que aún crece en laderas soleadas de los Andes, especialmente en lugares ceremoniales y jardines tradicionales.","Cusco, Huancavelica, Arequipa",./Cantuta/Cantuta1.jpg
10,Chachacoma,Chachacoma,Senecio graveolens,Planta medicinal,Sí,Ayuda contra el mal de altura y problemas respiratorios.,"Planta nativa de las alturas andinas, recolectada por pastores y pobladores altoandinos para aliviar los efectos del soroche desde épocas ancestrales.","Puno, Arequipa, Moquegua",./Chachacoma/Chachacoma1.jpeg
11,Chanca_piedra,Chanca piedra,Phyllanthus niruri,Planta medicinal,Sí,"Utilizada para tratar cálculos renales, problemas hepáticos y digestivos.","Planta que crece en zonas tropicales del Perú, especialmente en la Amazonía. Es valorada desde la época precolombina por su capacidad para 'romper piedras' del riñón.","Loreto, Ucayali, San Martín",./Chanca_piedra/Chanca_piedra1.jpeg
12,Chincho,Chincho,Tagetes elliptica,Planta medicinal,Sí,"Alivia cólicos estomacales, mejora la digestión y es antiparasitaria.","Hierba tradicional del altiplano andino, usada como condimento y medicina natural desde tiempos ancestrales, especialmente en platos típicos.","Cusco, Apurímac, Puno",./Chincho/chincho1.jpeg
13,Cocona,Cocona,Solanum sessiliflorum,Fruta de producción y Planta medicinal,Sí,"Fortalece el sistema inmunológico, reduce colesterol, combate infecciones.","Fruta amazónica consumida fresca o en jugos. Crece en zonas húmedas de la selva baja, cultivada por comunidades ribereñas.","Loreto, Amazonas, Ucayali",./Cocona/Cocona1.jpeg
14,Escorzonera,Escorzonera,Scorzonera hispanica,Planta medicinal,Sí,"Usada como diurética, digestiva y para aliviar problemas hepáticos.",Planta originaria de Europa pero cultivada también en los Andes peruanos. En la medicina tradicional se aprovecha su raíz.,"Arequipa, Cajamarca, Cusco",./Escorzonera/Escorzonera1.jpg
15,Eucalipto,Eucalipto,Eucalyptus globulus,Planta medicinal,Sí,"Descongestionante, antiséptico, alivia síntomas de gripe y resfriado.","Introducida desde Australia, adaptada ampliamente en los Andes; utilizada en vapores, infusiones y jarabes.","Huancayo, Cusco, Cajamarca",./Eucalipto/Eucalipto1.jpeg
17,Guarana,Guaraná,Paullinia cupana,Fruta de producción y Planta medicinal,Sí,"Estimula el sistema nervioso, mejora la concentración y combate la fatiga.","Planta amazónica introducida al Perú, cultivada principalmente por comunidades en selvas altas. Famosa por su uso en bebidas energéticas.","Loreto, Ucayali",./Guarana/Guarana1.jpeg
18,Hercampuri,Hercampuri,Gentianella alborosea,Planta medicinal,Sí,"Depurativa, regula colesterol y ayuda en problemas hepáticos.",Planta de altura que crece en los Andes peruanos. Fue usada por los incas como purgante natural y aún es popular en infusiones.,"Puno, Huancavelica, Ayacucho",./Hercampuri/Hercampuri1.jpeg
19,Hierba_buena,Hierba buena,Mentha spicata,Planta medicinal,Sí,"Trata cólicos, dolor de estómago, resfriados, y relaja.",Cultivada en huertos familiares de costa y sierra. Muy popular en infusiones medicinales y en gastronomía.,"Lima, Junín, Arequipa",./Hierba_buena/Hierba_buena1.jpeg
20,Hierba_santa,Hierba santa,Piper auritum,Planta medicinal,Sí,"Calma el dolor estomacal, resfriados y es antiespasmódica.","Crece en regiones tropicales y húmedas del Perú, especialmente en la Amazonía. Tiene un fuerte aroma anisado.","Loreto, San Martín",./Hierba_santa/Hierba_santa1.png
21,Manayupa,Manayupa,Desmodium molliculum,Planta medicinal,Sí,"Utilizada como desintoxicante, depurativo y cicatrizante.","Hierba andina usada por generaciones en infusiones, especialmente en zonas altoandinas como parte de la medicina tradicional.","Cusco, Ayacucho, Huancavelica",./Manayupa/Manayupa1.jpg
